kood;nimi;pindala;maakond
JAH1000043;Suure-Jaani;10130;Viljandi
JAH1000278;Hageri;32892;Rapla
JAH1000046;K‰‰pa;6250;Vıru
JAH1000036;Ruusm‰e;9850;Vıru
JAH1000259;Viiratsi;13530;Viljandi
JAH1000044;Illi;5250;Vıru
JAH1000021;Obinitsa;5970;Vıru
JAH1000058;Misso;11830;Vıru
JAH1000034;Puka;13610;Valga
JAH1000061;Hellenurme;16370;Valga
JAH1000004;Sangaste;13460;Valga
JAH1000010;Laatre;13250;Valga
JAH1000042;T‰‰ksi;10790;Viljandi
JAH1000053;Imavere;13940;J‰rva
JAH1000018;Juuru;9870;Rapla
JAH1000002;R‰pina;12760;Pılva
JAH1000051;Kılleste;10680;Pılva
JAH1000019;Laasi;8260;Hiiu
JAH1000027;Antsla;8640;Vıru
JAH1000045;Haapsalu;34510;L‰‰ne
JAH1000008;Kasari;19560;L‰‰ne
JAH1000224;Sangla;5880;Tartu
JAH1000184;Karula;9770;Valga
JAH1000281;Suuremıisa;17190;Hiiu
JAH1000322;Uhtna;18760;L‰‰ne-Viru
JAH1000324;Vinni;13600;L‰‰ne-Viru
JAH1000326;Tırma;11500;L‰‰ne-Viru
JAH1000312;Rakke;20830;L‰‰ne-Viru
JAH1000009;Halliste;15320;Viljandi
JAH1000297;Ida-Harju;120670;Harju
JAH1000320;Mahu;7940;L‰‰ne-Viru
JAH1000300;P‰ri-Metsk¸la;13830;Viljandi
JAH1000295;Tammiku;8010;Harju
JAH1000310;Tamsalu;13220;L‰‰ne-Viru
JAH1000035;Kuressaare;10350;Saare
JAH1000049;Pihtla;13810;Saare
JAH1000091;Palivere;10620;L‰‰ne
JAH1000077;Polli;6050;Viljandi
JAH1000102;Kooraste;6960;Pılva
JAH1000081;Saverna;8450;Pılva
JAH1000082;Peri;10720;Pılva
JAH1000122;Taevaskoja;10060;Pılva
JAH1000079;Rasina;10440;Pılva
JAH1000071;V‰rska;17480;Pılva
JAH1000063;Rıuge;13850;Vıru
JAH1000012;Varstu;7950;Vıru
JAH1000076;Koikk¸la;6050;Valga
JAH1000124;Tırva;6010;Valga
JAH1000075;Aidu;8400;Jıgeva
JAH1000101;Karksi;11410;Viljandi
JAH1000097;Holstre;7130;Viljandi
JAH1000015;Nuia;11510;Viljandi
JAH1000100;Vormsi;9170;L‰‰ne
JAH1000094;Esna;12100;J‰rva
JAH1000120;Alliku;12000;J‰rva
JAH1000068;Luunja;13840;Tartu
JAH1000107;‹lenurme;9640;Tartu
JAH1000089;Peipsi‰‰re;25150;Tartu
JAH1000066;J‰rvselja;16410;Tartu
JAH1000093;Tahkuna;14840;Hiiu
JAH1000111;Laimjala;13810;Saare
JAH1000065;Kaali;8910;Saare
JAH1000011;Laugi;20180;Saare
JAH1000040;Kohila;12470;Rapla
JAH1000020;Lihula;18710;L‰‰ne
JAH1000117;Torgu;7810;Saare
JAH1000013;Hino;5630;Vıru
JAH1000033;Kaiu;18040;Rapla
JAH1000057;K‰ru;19180;Rapla
JAH1000052;M‰rjamaa;12780;Rapla
JAH1000293;Nahe;19450;Harju
JAH1000056;Pıltsamaa;53560;Jıgeva
JAH1000069;Tarvastu;12520;Viljandi
JAH1000014;Urevere;5190;Rapla
JAH1000050;Vahelaane;12110;Tartu
JAH1000047;Leie;14810;Viljandi
JAH1000177;Sookuninga lka;3427;P‰rnu
JAH1000086;Varbla;26447;P‰rnu
JAH1000132;Puhtu-Laelatu lka;9605;L‰‰ne
JAH1000162;V‰imela;7700;Vıru
JAH1000139;Haanja;8070;Vıru
JAH1000134;Linda;6190;Vıru
JAH1000174;Merem‰e;8600;Vıru
JAH1000183;Mıniste;9140;Vıru
JAH1000136;Koork¸la;6540;Valga
JAH1000163;Hargla;9970;Valga
JAH1000135;Karjatnurme;8990;Valga
JAH1000148;Kullavere;43070;Jıgeva
JAH1000187;Luua;13460;Jıgeva
JAH1000176;Pikknurme;22580;Jıgeva
JAH1000166;Lilli;11000;Viljandi
JAH1000070;Abja;11900;Viljandi
JAH1000186;Lembitu;11370;Viljandi
JAH1000145;Kıo;14550;Viljandi
JAH1000126;Martna;9150;L‰‰ne
JAH1000137;Kirna;6770;J‰rva
JAH1000088;Valtu;8930;Rapla
JAH1000156;Kehtna;23580;Rapla
JAH1000158;Konguta;12970;Tartu
JAH1000074;Elva;21160;Tartu
JAH1000179;M‰‰vli;7740;Hiiu
JAH1000172;P¸halepa;13450;Hiiu
JAH1000164;Kırgessaare;15790;Hiiu
JAH1000160;Emmaste;12220;Hiiu
JAH1000146;Metsk¸la;7690;Saare
JAH1000161;Kuumi;5920;Saare
JAH1000181;Vıhma;9390;Saare
JAH1000099;Ept;7520;J‰rva
JAH1000118;Ilumetsa;14880;Pılva
JAH1000138;J‰neda;9870;L‰‰ne-Viru
JAH1000084;K‰revere;6210;Tartu
JAH1000059;Koeru;25340;J‰rva
JAH1000029;Vatla;11280;L‰‰ne
JAH1000129;Kolga-Jaani;14680;Viljandi
JAH1000108;M‰e;11200;Pılva
JAH1000127;Leisi;7620;Saare
JAH1000028;Torma;20200;Jıgeva
JAH1000112;Tornim‰e;15970;Saare
JAH1000030;T¸ri;8360;J‰rva
JAH1000078;Valgu;16150;Rapla
JAH1000109;K‰rla;15930;Saare
JAH1000149;Kaagj‰rve;7720;Valga
JAH1000130;Rapla;16560;Rapla
JAH1000143;Kaansoo;14560;Viljandi
JAH1000168;Orava;12460;Pılva
JAH1000213;Vastseliina;17600;Vıru
JAH1000141;Veerksu;7120;Pılva
JAH1000140;Vaibla;4245;Viljandi
JAH1000247;Vastse-Kuuste;11020;Pılva
JAH1000221;Pılva;9940;Pılva
JAH1000245;Kauksi;6710;Pılva
JAH1000246;Kanepi;6120;Pılva
JAH1000193;Lepistu;7500;Vıru
JAH1000229;Vıru;13130;Vıru
JAH1000204;Rulli;12470;Valga
JAH1000194;Unik¸la;11660;Valga
JAH1000205;Taagepera;9100;Valga
JAH1000212;Hummuli;7810;Valga
JAH1000217;Paistu;10490;Viljandi
JAH1000239;S¸rgavere;8650;Viljandi
JAH1000210;Taebla;9370;L‰‰ne
JAH1000191;Koigi;17690;J‰rva
JAH1000196;Tammistu;15740;Tartu
JAH1000225;Laeva;6870;Tartu
JAH1000240;Haaslava;13620;Tartu
JAH1000241;Valgj‰rve;7730;Pılva
JAH1000244;Palamuse;19490;Jıgeva
JAH1000199;Leluselja;11190;Hiiu
JAH1000222;Porkuni;7730;L‰‰ne-Viru
JAH1000219;Liiva;11390;Saare
JAH1000115;Eidapere;11690;Rapla
JAH1000167;J‰rva-Jaani;13300;J‰rva
JAH1000147;Kırvemaa;25460;J‰rva
JAH1000151;Laiuse;13220;Jıgeva
JAH1000197;Lehtse;11140;L‰‰ne-Viru
JAH1000155;Leva;15680;Rapla
JAH1000142;Lııla;10960;J‰rva
JAH1000152;Mıisak¸la;14990;Viljandi
JAH1000133;P‰‰rdu;14420;Rapla
JAH1000195;Riidaja;9090;Valga
JAH1000170;Suislepa;7050;Viljandi
JAH1000192;Vahastu;8340;Rapla
JAH1000154;Linnam‰e;21020;L‰‰ne
JAH1000233;Rimmu;10020;Viljandi
JAH1000218;Aste;14800;Saare
JAH1000211;Valga;8910;Valga
JAH1000207;Eikla;8300;Saare
JAH1000016;Auvere;15350;Ida-Viru
JAH1000262;Kambja;16880;Tartu
JAH1000267;Laheda;7420;Pılva
JAH1000261;Krabi;7450;Vıru
JAH1000248;Aakre;5820;Valga
JAH1000252;P¸haj‰rve;8410;Valga
JAH1000255;K‰rstna;9110;Viljandi
JAH1000272;Lahmuse;9500;Viljandi
JAH1000268;Oisu;11490;J‰rva
JAH1000274;Kabala;14790;J‰rva
JAH1000256;Raikk¸la;22800;Rapla
JAH1000273;Amme;9860;Tartu
JAH1000265;Nıgiaru;8710;Tartu
JAH1000263;Nıo;6690;Tartu
JAH1000269;Kastre;11450;Tartu
JAH1000275;Meeksi;15860;Tartu
JAH1000258;Pajusti;8280;L‰‰ne-Viru
JAH1000260;Kallem‰e;7700;Saare
JAH1000253;‹ru;25050;Saare
JAH1000329;Kauksi;8930;Ida-Viru
JAH1000333;Kiikla;16700;Ida-Viru
JAH1000331;Kohtla-Nımme;15490;Ida-Viru
JAH1000037;Kurem‰e;11030;Ida-Viru
JAH1000327;Lohusuu;11490;Ida-Viru
JAH1000334;M‰etaguse;9600;Ida-Viru
JAH1000064;Narva;12430;Ida-Viru
JAH1000200;Ontika;10480;Ida-Viru
JAH1000335;Oonurme;8980;Ida-Viru
JAH1000277;Permisk¸la;14570;Ida-Viru
JAH1000073;Remniku;13040;Ida-Viru
JAH1000113;Tamme;14260;Ida-Viru
JAH1000336;Tudulinna;13070;Ida-Viru
JAH1000242;Voka;19330;Ida-Viru
JAH1000237;Suigu;7700;P‰rnu
JAH1000157;V‰ndra;10150;P‰rnu
JAH1000095;Jııpre;14700;P‰rnu
JAH1000054;Surju;10490;P‰rnu
JAH1000270;Ora;5530;P‰rnu
JAH1000125;P‰rnjıe;8680;P‰rnu
JAH1000228;Tootsi;14350;P‰rnu
JAH1000276;Tori-Sindi;19430;P‰rnu
JAH1000251;Kaavi;9090;Saare
JAH1000231;Saadj‰rve;8370;Jıgeva
JAH1000264;T‰nassilma;9860;Viljandi
JAH1000249;Urvaste;11750;Vıru
JAH1000190;L¸manda;12530;Saare
JAH1000180;Vaimastvere;11160;Jıgeva
JAH1000226;Vardi;12160;Rapla
JAH1000003;Alajıe;18960;Ida-Viru
JAH1000349;Riguldi;9750;L‰‰ne
JAH1000128;Lıpe;13170;P‰rnu
JAH1000236;Pˆˆravere;16260;P‰rnu
JAH1000243;Veriora;9150;Pılva
JAH1000347;Palamulla;11270;Rapla
JAH1000284;Keila;21870;Harju
JAH1000287;Rae;12500;Harju
JAH1000288;Siniallika;9280;Harju
JAH1000289;Kose;10530;Harju
JAH1000290;Maapaju;12110;Harju
JAH1000294;Paldiski;7790;Harju
JAH1000304;Kadrina;5900;L‰‰ne-Viru
JAH1000305;Nımmk¸la;9920;L‰‰ne-Viru
JAH1000307;Triigi;7850;L‰‰ne-Viru
JAH1000308;Laekvere;20970;L‰‰ne-Viru
JAH1000309;Simuna;17110;L‰‰ne-Viru
JAH1000311;Kiltsi;10730;L‰‰ne-Viru
JAH1000339;Tamse;12920;Saare
JAH1000330;Kiviıli;19050;Ida-Viru
JAH1000332;Maidla;20280;Ida-Viru
JAH1000280;Tihemetsa;9130;P‰rnu
JAH1000171;Kaisma;13070;P‰rnu
JAH1000001;Sauga;15560;P‰rnu
JAH1000083;Rahnoja;16120;P‰rnu
JAH1000279;Kullipesa;15870;P‰rnu
JAH1000092;Aruv‰lja;16690;P‰rnu
JAH1000150;Massiaru;13190;P‰rnu
JAH1000067;Tali;13450;P‰rnu
JAH1000230;Are;10250;P‰rnu
JAH1000220;Seliste;8880;P‰rnu
JAH1000121;Vana-Varbla;18170;P‰rnu
JAH1000048;Audru;6930;P‰rnu
JAH1000178;Orajıe;18970;P‰rnu
JAH1000271;Kihnu;6230;P‰rnu
JAH1000090;Tıstamaa;15120;P‰rnu
JAH1000098;Ambla;14160;J‰rva
JAH1000153;Anna;13530;J‰rva
JAH1000328;Avinurme;20760;Ida-Viru
JAH1000214;Jıgeva;21790;Jıgeva
JAH1000257;V‰‰tsa;10990;J‰rva
JAH1000026;Vaivara;13750;Ida-Viru
JAH1000352;Silma LKA;1990;L‰‰ne
JAH1000215;Kullamaa;16310;L‰‰ne
JAH1000345;Muuga;9433;L‰‰ne-Viru
JAH1000292;Pıhja-Kırvemaa;12290;Harju
JAH1000350;Roela;13070;L‰‰ne-Viru
JAH1000318;Varangu;7450;L‰‰ne-Viru
JAH1000321;Viru-Nigula;7400;L‰‰ne-Viru
JAH1000299;Tipu;14343;Viljandi
JAH1000235;Vilsandi rahvuspark;4740;Saare
JAH1000116;Nıva-Kullamaa;74916;Harju
JAH1000085;P‰inurme;9060;J‰rva
JAH1000209;Haimre;12320;Rapla
JAH1000232;Alatskivi;17460;Tartu
JAH1000062;K‰ina;18280;Hiiu
JAH1000315;Viitna;14740;L‰‰ne-Viru
JAH1000316;Vohnja;11800;L‰‰ne-Viru
JAH1000131;Orissaare;15840;Saare
JAH1000198;Valjala;10140;Saare
JAH1000005;Kivinımme;14650;Ida-Viru
JAH1000032;Sillam‰e;13090;Ida-Viru
JAH1000189;Nımme;11800;P‰rnu
JAH1000203;Tahkuranna;20250;P‰rnu
JAH1000340;J‰‰rumetsa;10350;P‰rnu
JAH1000342;Saulepi;10510;P‰rnu
JAH1000291;Aegviidu;6270;Harju
JAH1000025;Halinga;19270;P‰rnu
JAH1000234;Karula rahvuspark;11100;Valga
JAH1000103;J‰rvakandi;8020;Rapla
JAH1000250;J¸riˆˆ;8590;J‰rva
JAH1000208;Koonga;18660;P‰rnu
JAH1000343;K¸lmallika;9140;Rapla
JAH1000123;Kurgja;17690;P‰rnu
JAH1000286;L‰‰ne-Harju;34580;Harju
JAH1000017;Lasva;9880;Vıru
JAH1000344;Luiste;10410;L‰‰ne
JAH1000254;P‰rsama;12960;Saare
JAH1000266;Sadala;12860;Jıgeva
JAH1000353;Sooniste;13220;Rapla
JAH1000173;Heimtali;11770;Viljandi
JAH1000227;Vıhandu;7310;Vıru
JAH1000165;Mustjala;12700;Saare
JAH1000080;Vınnu;8420;Tartu
JAH1000206;Ahja;8790;Pılva
JAH1000202;Vana-Otep‰‰;7280;Valga
JAH1000216;Massu;17230;L‰‰ne
JAH1000348;Pırsu;10960;Rapla
JAH1000346;Nıva;39350;L‰‰ne
JAH1000354;Tudu;15599;L‰‰ne-Viru
JAH1000022;Ruusa;8950;Pılva
JAH1000185;Pılgaste;9410;Pılva
JAH1000031;Viitina;8430;Vıru
JAH1000238;Sımerpalu;12760;Vıru
JAH1000024;Rannu;7190;Tartu
JAH1000283;Nissi;36550;Harju
JAH1000285;V‰‰na;16920;Harju
JAH1000317;Ranna;6240;L‰‰ne-Viru
JAH1000325;Kullaaru;8500;L‰‰ne-Viru
JAH1000306;V‰ike-Maarja;11060;L‰‰ne-Viru
JAH1000106;Karja;7900;Saare
JAH1000338;Kurtna;7780;Ida-Viru
JAH1000041;Kihlepa-Lindi;13820;P‰rnu
JAH1000314;Haljala;15350;L‰‰ne-Viru
JAH1000104;Kihelkonna;13690;Saare
JAH1000319;Kunda;11110;L‰‰ne-Viru
JAH1000282;Padise;30180;Harju
JAH1000105;Vambola;10120;Viljandi
JAH1000055;Vigala;15740;Rapla
JAH1000159;Salme;11480;Saare
JAH1000296;L‰‰ne-Lahemaa;26550;Harju
JAH1000110;Matsalu rahvuspark;48870;L‰‰ne
JAH1000023;Tuudi;13850;L‰‰ne
JAH1000313;Ida-Lahemaa;23420;L‰‰ne-Viru
JAH1000201;Kilingi-Nımme;57390;P‰rnu
JAH1000169;Koemetsa;16440;Vıru
JAH1000096;L¸llem‰e;8460;Valga
JAH1000175;Noarootsi;12680;L‰‰ne
JAH1000006;Puhja;11810;Tartu
JAH1000223;Soomaa rahvuspark;29700;Viljandi
JAH1000038;T‰htvere;13110;Tartu
JAH1000357;Nıva;20872;L‰‰ne
JAH1000355;Risti;8749;L‰‰ne
JAH1000356;Variku;9727;L‰‰ne
JAH1000351;R‰gavere;11185;L‰‰ne-Viru
JAH1000323;Anguse;13623;L‰‰ne-Viru
